subsys4	010B	001B	009B	012B	013A	014B	017B	018B
3-keto-L-gulonate 6-phosphate decarboxylase homolog	0	0	1	0	0	0	0	0
3-ketoacyl-CoA thiolase (EC 2.3.1.16)	7	13	5	1853	2770	1175	2839	2198
3-methyl-2-oxobutanoate hydroxymethyltransferase (EC 2.1.2.11)	4	10	5	476	810	1626	3222	1426
3-methylmercaptopropionyl-CoA dehydrogenase (DmdC)	20	36	13	1431	2884	4395	4622	2554
3-oxoacyl-[acyl-carrier protein] reductase (EC 1.1.1.100)	2187	6807	3607	9466	20826	33072	30700	13381
3-oxoacyl-[acyl-carrier protein] reductase paralog (EC 1.1.1.100) in cluster with unspecified monosaccharide transporter	0	0	0	0	0	0	0	0
3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)	3	2	1	484	875	1697	2786	1649
3-oxoacyl-[acyl-carrier-protein] synthase, KASII (EC 2.3.1.41)	29	54	18	5440	6192	10720	17538	8759
3-oxoacyl-[acyl-carrier-protein] synthase, KASIII (EC 2.3.1.41)	20	115	14	2770	2229	4298	10507	4484
3-polyprenyl-4-hydroxybenzoate carboxy-lyase (EC 4.1.1.-)	0	0	0	0	0	0	0	0
3-polyprenyl-4-hydroxybenzoate carboxy-lyase UbiX (EC 4.1.1.-)	2	0	0	0	0	0	0	0
3,4-dihydroxy-2-butanone 4-phosphate synthase	3	4	3	1	4	3	779	7
3,5-diaminobexanoate dehydrogenase (EC 1.4.1.11)	0	4	0	6	3	3	11	1
3'-phosphoadenosine 5'-phosphosulfate sulfurtransferase DndC	0	1	1	1	0	1	0	0
3'-to-5' exoribonuclease RNase R	1985	3854	2924	1357	808	2060	3407	1746
3'-to-5' oligoribonuclease (orn)	9	10	2	1900	165	1078	5692	3501
3'-to-5' oligoribonuclease B, Bacillus type	0	0	3	0	0	0	0	0
3',5'-cyclic-nucleotide phosphodiesterase (EC 3.1.4.17)	0	0	0	11	6	39	3	1
3'(2'),5'-bisphosphate nucleotidase (EC 3.1.3.7)	0	0	0	0	0	0	0	0
4-alpha-glucanotransferase (amylomaltase) (EC 2.4.1.25)	23	48	17	7851	4389	6562	20816	11829
4-aminobutyraldehyde dehydrogenase (EC 1.2.1.19)	0	0	0	0	0	0	0	0
4-deoxy-L-threo-5-hexosulose-uronate ketol-isomerase (EC 5.3.1.17)	0	0	0	0	0	0	0	0
4-diphosphocytidyl-2-C-methyl-D-erythritol kinase (EC 2.7.1.148)	5	8	14	575	590	1595	1634	1014
4-hydroxy-3-methylbut-2-enyl diphosphate reductase (EC 1.17.1.2)	3	8	5	290	180	420	824	449
4-hydroxybenzoate polyprenyltransferase (EC 2.5.1.-)	0	0	1	0	0	0	0	0
4-hydroxybenzoate transporter	1	2	2	360	31	102	359	327
4-hydroxybenzoyl-CoA thioesterase family active site	10	11	12	2027	3155	4808	4993	3312
4-hydroxythreonine-4-phosphate dehydrogenase (EC 1.1.1.262)	2	6	1	124	158	331	686	231
4-keto-6-deoxy-N-Acetyl-D-hexosaminyl-(Lipid carrier) aminotransferase	6	8	5	405	409	965	1309	545
4-oxalocrotonate tautomerase (EC 5.3.2.-)	2	6	1	2	2	10	2	2
4'-phosphopantetheinyl transferase (EC 2.7.8.-)	2	1	1	14	1	1	2	3
4'-phosphopantetheinyl transferase (EC 2.7.8.-) [enterobactin] siderophore	0	0	0	0	0	0	1	0
5-carboxymethyl-2-hydroxymuconate delta-isomerase (EC 5.3.3.10)	0	0	0	0	0	0	0	0
5-carboxymethyl-2-oxo-hex-3- ene-1,7-dioate decarboxylase (EC 4.1.1.68)	0	0	0	0	0	0	0	0
5-deoxy-glucuronate isomerase (EC 5.3.1.-)	1	1	0	2	1	2	2	4
5-Enolpyruvylshikimate-3-phosphate synthase (EC 2.5.1.19)	2	11	6	975	485	936	2104	1287
5-formyltetrahydrofolate cyclo-ligase (EC 6.3.3.2)	535	1808	935	991	1593	2153	2426	1083
5-keto-2-deoxy-D-gluconate-6 phosphate aldolase (EC 4.1.2.29)	0	0	0	0	0	0	0	0
5-keto-2-deoxy-D-gluconate-6 phosphate aldolase [form 2] (EC 4.1.2.29)	0	0	0	2	0	0	0	0
5-keto-2-deoxygluconokinase (EC 2.7.1.92)	0	0	0	13	1	0	2	1
5-methyl-dCTP pyrophosphohydrolase (EC 3.6.1.-)	1	1	1	3	1	11	4	163
5-methyltetrahydrofolate--homocysteine methyltransferase (EC 2.1.1.13)	1	2	1	128	0	1	1	0
5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase (EC 2.1.1.14)	287	661	6	250	403	1162	1987	501
5-methylthioribose kinase (EC 2.7.1.100)	169	1	0	1	1	1	1	1
5-nucleotidase SurE (EC 3.1.3.5)	3	10	3	544	405	970	1963	672
5,10-methylenetetrahydrofolate reductase (EC 1.5.1.20)	4	2	2	399	194	917	998	278
5'-nucleotidase (EC 3.1.3.5)	16	51	14	3208	2523	5759	11600	4882
5'-nucleotidase family protein in cluster with NagD-like phosphatase	1098	2579	1351	4	5	3	4	2
5'-nucleotidase YjjG (EC 3.1.3.5)	1	1	6	17	1	7	32	13
50S ribosomal subunit maturation GTPase RbgA (B. subtilis YlqF)	951	2417	1276	2165	4727	3133	2316	822
6-phospho-3-hexuloisomerase	48	664	148	215	1	9	2	5
6-phospho-beta-galactosidase (EC 3.2.1.85)	5	35	9	1061	2250	698	5	8
6-phospho-beta-glucosidase (EC 3.2.1.86)	475	1854	2208	12	13	25	7	8
6-phosphofructokinase (EC 2.7.1.11)	31295	93374	41155	18858	24593	30179	38839	11165
6-phosphofructokinase class II (EC 2.7.1.11)	0	0	0	0	0	0	0	0
6-phosphofructokinase, eukaryotic type (EC 2.7.1.11)	0	0	0	1	0	0	0	0
6-phosphogluconate dehydrogenase, decarboxylating (EC 1.1.1.44)	2298	7295	2790	2834	3207	4257	2688	833
6-phosphogluconolactonase (EC 3.1.1.31)	663	1709	823	793	615	996	667	103
6-phosphogluconolactonase (EC 3.1.1.31), eukaryotic type	3	3	2	452	57	653	1005	591
6,7-dimethyl-8-ribityllumazine synthase (EC 2.5.1.9)	5084	13880	969	1984	1775	4474	7468	3335
8-amino-7-oxononanoate synthase (EC 2.3.1.47)	50	134	75	758	1117	1744	4685	1837
A/G-specific adenine glycosylase (EC 3.2.2.-)	3	8	3	292	120	270	423	348
AA3-600 quinol oxidase subunit II	566	1	1	1	1	1	1	1
ABC transporter ATP-binding protein uup	583	1147	819	842	534	701	605	268
ABC transporter in pyoverdin gene cluster, ATP-binding component	3	4	6	792	1302	817	2379	1111
ABC transporter in pyoverdin gene cluster, periplasmic component	2	0	0	420	221	549	384	47
ABC transporter in pyoverdin gene cluster, permease component	0	0	0	143	230	183	143	53
ABC transporter involved in cytochrome c biogenesis, ATPase component CcmA	0	1	1	114	211	328	793	279
ABC transporter involved in cytochrome c biogenesis, CcmB subunit	0	0	0	0	0	0	0	0
ABC transporter membrane-spanning permease, Pep export, Vex1	1	4	1	100	68	81	126	89
ABC transporter membrane-spanning permease, Pep export, Vex3	1	2	1	113	139	132	356	141
ABC transporter multidrug efflux pump, fused ATP-binding domains	55	0	1	95	75	198	106	201
ABC transporter permease protein YvcS	0	0	0	5	5	5	24	10
ABC transporter, ATP-binding protein Vex2	23	28	21	70	51	93	201	90
ABC transporter, periplasmic spermidine putrescine-binding protein PotD (TC 3.A.1.11.1)	1261	2702	1401	515	862	842	468	163
ABC transporter, predicted N-acetylneuraminate transport system permease protein 1	0	0	0	0	0	0	0	2
ABC transporter, predicted N-acetylneuraminate transport system permease protein 2	0	0	0	0	0	0	1	0
ABC transporter, predicted N-acetylneuraminate-binding protein	0	0	0	3	0	3	7	9
ABC-type Fe3+-siderophore transport system, periplasmic iron-binding component	0	0	0	0	0	0	2	0
ABC-type Fe3+-siderophore transport system, permease 2 component	0	0	0	0	0	0	0	0
ABC-type hemin transport system, ATPase component	1	1	2	1	1	1	5	2
ABC-type multidrug transport system, ATPase component	13	26	7	3974	1971	1926	12325	10476
ABC-type multidrug transport system, permease component	0	1	0	58	0	6	34	24
ABC-type nitrate/sulfonate/bicarbonate transport system, ATPase component	1	2	1	28	77	92	141	533
ABC-type nitrate/sulfonate/bicarbonate transport system, permease component	1	2	1	2	3	1	1	3
ABC-type nitrate/sulfonate/bicarbonate transport systems, periplasmic components	1	8	1	168	62	93	395	146
ABC-type polar amino acid transport system, ATPase component	0	0	1	4	2	0	0	7
ABC-type sugar transport system, periplasmic binding protein YcjN	0	0	1	0	0	0	1	0
ABC-type transport system involved in resistance to organic solvents, periplasmic component USSDB6C	1	0	0	12	8	19	38	38
ABC-type transport system involved in resistance to organic solvents, permease component USSDB6A	3	8	2	399	550	906	1249	762
Accessory colonization factor AcfD precursor	0	0	0	0	0	0	0	0
Accessory secretory protein Asp1	0	0	0	0	0	0	0	0
Accessory secretory protein Asp2	0	0	0	0	0	0	0	0
Accessory secretory protein Asp3	0	0	0	0	0	0	0	0
Acetaldehyde dehydrogenase (EC 1.2.1.10)	7984	9165	9029	4429	5013	4477	6084	1220
Acetaldehyde dehydrogenase, ethanolamine utilization cluster	1	1	0	3	37	22	25	4
Acetate kinase (EC 2.7.2.1)	4298	9796	5374	9547	6211	10992	28105	16331
Acetate permease ActP (cation/acetate symporter)	0	0	0	0	0	0	1	0
Acetoacetate metabolism regulatory protein AtoC	0	0	0	0	1	0	1	0
Acetoacetyl-CoA reductase (EC 1.1.1.36)	0	0	0	3	0	0	1	5
Acetoin (diacetyl) reductase (EC 1.1.1.5)	1	7	3	1	1	1	2	1
Acetoin dehydrogenase E1 component alpha-subunit (EC 1.2.4.-)	6	5	3	352	527	132	1359	688
Acetoin dehydrogenase E1 component beta-subunit (EC 1.2.4.-)	6	9	3	303	398	114	760	537
Acetolactate synthase large subunit (EC 2.2.1.6)	2	3	3	272	90	1339	127	22
Acetolactate synthase small subunit (EC 2.2.1.6)	2	5	3	365	151	3749	289	67
Acetolactate synthase, catabolic (EC 2.2.1.6)	0	0	0	1	3	4	9	0
Acetyl xylan esterase (EC 3.1.1.41)	3416	305	2718	2	1	2	3	1
Acetyl-CoA acetyltransferase (EC 2.3.1.9)	2879	6236	5637	249	224	250	334	90
Acetyl-CoA:acetoacetyl-CoA transferase, alpha subunit (EC 2.8.3.8)	118	220	101	7199	2242	5491	7253	3228
Acetyl-CoA:acetoacetyl-CoA transferase, beta subunit (EC 2.8.3.8)	0	0	0	0	0	0	0	0
Acetyl-coenzyme A carboxyl transferase alpha chain (EC 6.4.1.2)	11	4	2	3	3	2	7	3
Acetyl-coenzyme A carboxyl transferase beta chain (EC 6.4.1.2)	9	4	8	1544	433	1460	1170	929
Acetyl-coenzyme A synthetase (EC 6.2.1.1)	0	1	0	0	0	0	0	0
Acetylglutamate kinase (EC 2.7.2.8)	2	2	1	11	1	1	19	4
Acetylornithine aminotransferase (EC 2.6.1.11)	1	13	1	42	1	1	26	14
Acetylornithine aminotransferase 2 (EC 2.6.1.11)	1	0	0	0	0	0	0	0
Acetylornithine deacetylase (EC 3.5.1.16)	1	1	3	1	1	1	1	1
Acetyltransferase YpeA	0	0	0	0	0	0	0	0
Aconitate hydratase (EC 4.2.1.3)	2	1	0	0	0	0	1	1
Acriflavin resistance protein	3	7	2	367	169	269	729	233
Activator of the mannose operon (transcriptional antiterminator), BglG family	53	842	254	3	1	2	1	2
Acyl carrier protein	4081	7149	3474	25914	22330	38158	39670	26699
Acyl carrier protein phosphodiesterase (EC 3.1.4.14)	0	2	0	0	0	0	0	0
Acyl dehydratase	1	1	1	1	1	1	3	7
Acyl-[acyl-carrier-protein]--UDP-N-acetylglucosamine O-acyltransferase (EC 2.3.1.129)	10	13	12	2661	1800	3797	6535	2509
acyl-acyl carrier protein synthetase (EC 6.2.1.20)	0	0	0	36	10	14	0	28
Acyl-CoA hydrolase (EC 3.1.2.20)	0	0	0	0	0	0	0	0
Acyl-CoA thioesterase II (EC 3.1.2.-)	2	0	0	3	3	6	45	10
Acyl-CoA thioesterase YciA, involved in membrane biogenesis	0	2	0	0	0	0	0	0
Acyl-phosphate:glycerol-3-phosphate O-acyltransferase PlsY	628	1460	1264	118	115	186	92	32
Acylamino-acid-releasing enzyme (EC 3.4.19.1)	3	4	2	176	61	63	377	49
Acylphosphate phosphohydrolase (EC 3.6.1.7), putative	2	2	4	2	2	2	5	2
ADA regulatory protein	12	21	9	5214	847	1497	3116	2249
Additional periplasmic component NikK of nickel ECF transporter	3	1	1	2	1	10	1	2
Additional substrate-specific component CbiN of cobalt ECF transporter	1	1	1	1	1	1	21	1
Adenine deaminase (EC 3.5.4.2)	152	331	170	754	282	574	849	502
Adenine phosphoribosyltransferase (EC 2.4.2.7)	6385	17247	9835	4345	4335	7857	5643	2944
Adenine-specific methyltransferase (EC 2.1.1.72)	870	2318	1140	3206	833	1339	3160	2068
Adenosine (5')-pentaphospho-(5'')-adenosine pyrophosphohydrolase (EC 3.6.1.-)	0	0	0	0	0	0	0	0
Adenosine deaminase (EC 3.5.4.4)	277	2398	855	545	7	8	9	6
Adenosylcobinamide amidohydrolase (EC 3.5.1.90)	0	0	0	0	0	0	0	0
Adenosylcobinamide-phosphate guanylyltransferase (EC 2.7.7.62)	3	6	3	268	5	4	5	3
Adenosylcobinamide-phosphate synthase	4	4	2	161	69	164	333	213
Adenosylhomocysteinase (EC 3.3.1.1)	14	27	59	2161	1969	2183	3375	1773
Adenosylmethionine-8-amino-7-oxononanoate aminotransferase (EC 2.6.1.62)	2	4	3	655	628	1910	1421	1408
Adenylate cyclase (EC 4.6.1.1)	417	1562	379	3257	1263	9511	7112	5354
Adenylate kinase (EC 2.7.4.3)	15635	42458	39848	27259	27935	26897	45396	18419
Adenylosuccinate lyase (EC 4.3.2.2)	3518	9221	2426	8302	4897	12397	14322	6365
Adenylosuccinate synthetase (EC 6.3.4.4)	5077	13544	3169	7209	5762	12857	18770	8708
Adenylylsulfate kinase (EC 2.7.1.25)	0	0	0	0	0	0	0	0
Adhesin of unknown specificity SdrC	0	0	0	0	0	0	0	0
Adhesin of unknown specificity SdrE, similar to bone sialoprotein-binding protein Bbp	0	0	0	0	1	1	3	3
ADP compounds hydrolase NudE (EC 3.6.1.-)	0	0	0	0	0	0	0	0
ADP-heptose synthase (EC 2.7.-.-)	3	4	2	1274	271	618	977	555
ADP-heptose--lipooligosaccharide heptosyltransferase II (EC 2.4.1.-)	4	6	2	461	189	438	652	267
ADP-L-glycero-D-manno-heptose-6-epimerase (EC 5.1.3.20)	1	1	0	3	1	34	6	3
ADP-ribose pyrophosphatase (EC 3.6.1.13)	3749	13274	8024	5811	6697	18093	4401	1171
ADP-ribosylglycohydrolase YegU (EC 3.2.-.-)	1	2	1	113	1	1	217	128
Aerobic C4-dicarboxylate transporter for fumarate, L-malate, D-malate, succunate	0	1	1	0	0	0	0	0
Aerobic glycerol-3-phosphate dehydrogenase (EC 1.1.5.3)	1098	1	2	1	1	1	1	1
Aerobic respiration control protein arcA	0	0	0	0	0	0	0	0
Aerobic respiration control sensor protein arcB (EC 2.7.3.-)	0	1	1	0	0	1	0	0
Aerotaxis sensor receptor protein	0	0	1	0	0	1	0	1
Agmatinase (EC 3.5.3.11)	1	0	0	0	0	1	1	1
Agmatine deiminase (EC 3.5.3.12)	2	4	1	257	216	1028	841	592
Agmatine/putrescine antiporter, associated with agmatine catabolism	2730	6524	5559	13	16	22	19	9
Alanine dehydrogenase (EC 1.4.1.1)	1837	1	1	2	1	2	5	1
Alanine racemase (EC 5.1.1.1)	2000	4178	2070	1383	988	1237	1520	610
Alanine racemase, biosynthetic (EC 5.1.1.1)	0	0	0	0	0	0	0	0
Alanine racemase, catabolic (EC 5.1.1.1)	0	0	0	0	1	0	0	0
Alanyl-tRNA synthetase (EC 6.1.1.7)	2102	5077	2803	5532	3865	8122	11580	5119
Alanyl-tRNA synthetase family protein	0	1	1	4	7	1	19	15
Alcohol dehydrogenase (EC 1.1.1.1)	305	1054	151	15312	4088	4901	20561	9036
Alcohol dehydrogenase, zinc-containing	0	0	0	0	0	0	0	0
Aldehyde dehydrogenase (EC 1.2.1.3)	4	7	6	1320	185	407	1014	580
Aldehyde dehydrogenase A (EC 1.2.1.22)	0	0	0	0	0	0	0	0
Aldehyde dehydrogenase B (EC 1.2.1.22)	5	8	1	75	11	12	133	512
Aldose 1-epimerase (EC 5.1.3.3)	1103	1468	523	1128	756	1569	5164	1613
Aldose 1-epimerase family protein YphB	0	0	0	0	0	0	0	0
Aldose-ketose isomerase YihS	0	0	0	3	0	0	0	0
Alfa-L-rhamnosidase (EC 3.2.1.40)	0	9	0	0	0	0	0	0
Alkaline phosphatase (EC 3.1.3.1)	77	320	438	1733	1930	2372	7048	3309
Alkaline phosphatase like protein	701	1821	1024	1046	1819	1562	1512	482
Alkaline phosphatase synthesis transcriptional regulatory protein PhoP	10	22	8	2720	1648	5078	8189	5587
Alkanesulfonate monooxygenase (EC 1.14.14.5)	0	0	0	0	0	0	0	0
Alkanesulfonate utilization operon LysR-family regulator CbI	0	0	0	0	0	1	0	0
Alkanesulfonates ABC transporter ATP-binding protein	2	15	2	255	428	1715	1419	1028
Alkanesulfonates transport system permease protein	3	5	1	245	84	2964	623	1048
Alkanesulfonates-binding protein	6	10	3	800	338	6088	1474	1748
Alkyl hydroperoxide reductase protein C (EC 1.6.4.-)	1574	697	274	42420	16279	30672	78929	111330
Alkyl hydroperoxide reductase protein F (EC 1.6.4.-)	13	34	15	1269	1273	1533	5438	8140
Alkyl hydroperoxide reductase subunit C-like protein	1	1	2	117	3	1	4	1
Alkylated DNA repair protein AlkB	0	0	0	0	0	0	0	0
Alkylhydroperoxidase protein D	0	0	0	0	0	0	0	0
Alkylphosphonate utilization operon protein PhnA	1	4	1	3	1	1	52	32
Allantoin permease	0	0	0	0	0	0	0	1
Allantoinase (EC 3.5.2.5)	0	0	0	0	0	0	1	0
Allophanate hydrolase 2 subunit 1 (EC 3.5.1.54)	1	4	1	1	3	1	7	6
Allophanate hydrolase 2 subunit 2 (EC 3.5.1.54)	1	4	1	2	5	1	15	12
Alpha-1,2-mannosidase	3	9	1	934	982	1398	3391	1338
Alpha-1,3-N-acetylgalactosamine transferase PglA (EC 2.4.1.-)	3	2	0	189	5	49	1561	724
Alpha-1,4-N-acetylgalactosamine transferase PglH (EC 2.4.1.-)	1	1	1	19	2	7	53	8
Alpha-2-macroglobulin	0	1	0	3	3	4	20	5
Alpha-acetolactate decarboxylase (EC 4.1.1.5)	1	1	1	1	1	1	1	1
Alpha-amylase (EC 3.2.1.1)	5	12	3	1277	1686	2157	4562	1829
Alpha-amylase (Neopullulanase) SusA (EC 3.2.1.135)	4	8	2	545	814	1653	3244	1178
Alpha-arabinosides ABC transport system, substrate-binding protein	0	0	0	0	0	0	1	0
